request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Election_Status:token,Election_Status:id,Election_Status,Status_of_Candidate:token,Status_of_Candidate:id,Status_of_Candidate,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=134425&c-r-ot=H,c-t-id,134425,"VOS, ROBIN J",c-t-eid,3217195,"VOS, ROBIN J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8709,"ASSEMBLY DISTRICT 063",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",1878,199921.63
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=134383&c-r-ot=H,c-t-id,134383,"DOYLE, STEVE",c-t-eid,6513549,"DOYLE, STEVE",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8740,"ASSEMBLY DISTRICT 094",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",3010,189995.98
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=134403&c-r-ot=H,c-t-id,134403,"MARKLEIN, HOWARD",c-t-eid,2928671,"MARKLEIN, HOWARD",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8697,"ASSEMBLY DISTRICT 051",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",1201,166237.46
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=134421&c-r-ot=H,c-t-id,134421,"SUDER, SCOTT",c-t-eid,13009631,"SUDER, SCOTT",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8715,"ASSEMBLY DISTRICT 069",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",1036,164097.86
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=134412&c-r-ot=H,c-t-id,134412,"PETRYK, WARREN",c-t-eid,6696468,"PETRYK, WARREN",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8739,"ASSEMBLY DISTRICT 093",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",1209,163407.21
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=136804&c-r-ot=H,c-t-id,136804,"FELZKOWSKI, MARY J",c-t-eid,13736017,"FELZKOWSKI, MARY J",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8681,"ASSEMBLY DISTRICT 035",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",799,162265.50
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74742&c-r-ot=H,c-t-id,74742,"VANDERMEER, NANCY LYNN",c-t-eid,3168880,"VANDERMEER, NANCY LYNN",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8716,"ASSEMBLY DISTRICT 070",c-t-ico,C,Challenger,c-r-ot,H,"State House/Assembly",731,155391.00
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=74738&c-r-ot=H,c-t-id,74738,"SNYDER, PATRICK J",c-t-eid,3030079,"SNYDER, PATRICK J",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8731,"ASSEMBLY DISTRICT 085",c-t-ico,O,Open,c-r-ot,H,"State House/Assembly",943,152170.58
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=136798&c-r-ot=H,c-t-id,136798,"KAPENGA, CHRIS L",c-t-eid,3189607,"KAPENGA, CHRIS L",c-t-ftsts,Won-General,Won-General,c-t-sts,1,Won,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8745,"ASSEMBLY DISTRICT 099",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",494,141609.67
dt=1&s=WI&y=2012&c-exi=1&c-r-ot=H&c-t-id=71582&c-r-ot=H,c-t-id,71582,"RIVARD, ROGER",c-t-eid,2941232,"RIVARD, ROGER",c-t-ftsts,Lost-General,Lost-General,c-t-sts,2,Lost,c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,WI,WI,y,2012,2012,c-r-t,1,Standard,c-r-osid,8721,"ASSEMBLY DISTRICT 075",c-t-ico,I,Incumbent,c-r-ot,H,"State House/Assembly",976,131157.65
